States,Force,Reward,Terminated,Time
[[ 0.         -0.04122141 -0.03444234  0.          0.          0.        ]],1,0.7089317507384003,False,0.0
[[ 0.0002161  -0.04153162 -0.03441567  0.02161223 -0.03104402  0.00268931]],1,0.7027319789294844,False,0.02
[[ 0.00086465 -0.04246502 -0.03433302  0.04324819 -0.06236433  0.00564132]],1,0.6922709646106222,False,0.04
[[ 0.00194635 -0.0440299  -0.03418649  0.06493172 -0.09424021  0.00912241]],-5,0.69799891806271,False,0.06
[[ 0.0022628  -0.04504162 -0.03396241 -0.03327892 -0.00701408  0.01336863]],1,0.695722483212318,False,0.08
[[ 0.00181482 -0.0455098  -0.03365106 -0.01151612 -0.0398478   0.01781664]],-5,0.6967328681894297,False,0.1
[[ 0.00060279 -0.04543983 -0.0332462  -0.1096881   0.04683726  0.02269188]],1,0.7027301738799875,False,0.12
[[-0.00137336 -0.04483267 -0.0327452  -0.08793083  0.01390567  0.02740129]],1,0.7043563193247423,False,0.14
[[-0.00291452 -0.04488352 -0.03214944 -0.06618419 -0.01901396  0.03221657]],-5,0.7042898856811325,False,0.16
[[-0.00522023 -0.04439668 -0.03145326 -0.16439045  0.0677113   0.0374148 ]],1,0.7142248391359282,False,0.18
[[-0.00829089 -0.04337065 -0.03065505 -0.14268203  0.03493873  0.04239259]],-5,0.7094821643792986,False,0.2
[[-0.01212733 -0.04179957 -0.02975666 -0.24097305  0.12225564  0.04739985]],1,0.7277149693562414,False,0.22
[[-0.0167308  -0.03967336 -0.02876344 -0.21938779  0.09048404  0.0518493 ]],1,0.7417785801975975,False,0.24
[[-0.0209033  -0.0381764  -0.02768467 -0.19787174  0.05928405  0.05600066]],-5,0.7351674516916863,False,0.26
[[-0.02584572 -0.03610085 -0.02652344 -0.29638466  0.14838522  0.06006003]],1,0.7576269508458385,False,0.28
[[-0.03155971 -0.03343332 -0.02528698 -0.27503146  0.11851856  0.06349317]],1,0.7761927964774581,False,0.3
[[-0.03684759 -0.031355   -0.02398655 -0.25376931  0.08941948  0.06649979]],-5,0.7666014515336534,False,0.32
[[-0.04291081 -0.02865332 -0.02262845 -0.3525713   0.18090127  0.06921934]],1,0.793596985515964,False,0.34
[[-0.04975152 -0.02531026 -0.02122329 -0.33152122  0.15359876  0.07117149]],1,0.817002262617688,False,0.36
[[-0.05617245 -0.02250244 -0.01978587 -0.31058974  0.12733703  0.07248151]],-5,0.802724504691224,False,0.38
[[-0.06337574 -0.01901094 -0.01832756 -0.4097634   0.22201903  0.07321536]],1,0.8344073332182007,False,0.4
[[-0.07136416 -0.01481133 -0.01686429 -0.38910585  0.19819556  0.072933  ]],1,0.8627743144200894,False,0.42
[[-0.078941   -0.01107366 -0.01541676 -0.36860216  0.17579257  0.07167086]],1,0.8880766583558968,False,0.44
[[-0.08610916 -0.00777141 -0.01400289 -0.34823533  0.154624    0.0695921 ]],1,0.9105187401693469,False,0.46
[[-0.09287122 -0.00488163 -0.01263752 -0.32798916  0.13451681  0.0668449 ]],1,0.9302667691192938,False,0.48
[[-0.09922943 -0.00238474 -0.01133265 -0.30784818  0.11530914  0.06356461]],1,0.9474554981064097,False,0.5
"[[-1.05185745e-01 -2.64292537e-04 -1.00976574e-02 -2.87797497e-01
   9.68485844e-02  5.98758730e-02]]",1,0.9507860747104456,False,0.52
[[-0.11074183  0.00149321 -0.00893956 -0.26782275  0.07899044  0.05589461]],1,0.9524240046947746,False,0.54
[[-0.11589907  0.00289841 -0.00786309 -0.24791001  0.06159615  0.05172997]],1,0.9543939184612835,False,0.56
[[-0.12065856  0.00395925 -0.00687088 -0.22804565  0.04453171  0.0474862 ]],1,0.9567037595594041,False,0.58
[[-0.12502113  0.00468101 -0.0059635  -0.20821628  0.02766621  0.04326439]],1,0.9593644801353725,False,0.6
[[-0.12898735  0.00506636 -0.0051395  -0.18840867  0.01087027  0.03916433]],1,0.962390233429625,False,0.62
[[-0.13255753  0.00511542 -0.00439544 -0.1686096  -0.00598537  0.03528621]],1,0.9657980410340007,False,0.64
[[-0.1357317   0.00482568 -0.00372588 -0.14880583 -0.02303141  0.03173243]],1,0.9696069298698378,False,0.66
[[-0.13850964  0.004192   -0.00312327 -0.12898393 -0.04040136  0.02860934]],1,0.9738364560449825,False,0.68
[[-0.14089085  0.00320655 -0.00257789 -0.10913026 -0.05823322  0.0260291 ]],-5,0.9779083932099667,False,0.7000000000000001
[[-0.14407463  0.00305948 -0.00207845 -0.20924636  0.04349965  0.02395747]],1,0.9783765962598286,False,0.72
[[-0.14806086  0.00374757 -0.00161987 -0.18938112  0.02534417  0.02188549]],1,0.9793969352883529,False,0.74
[[-0.15165     0.00407413 -0.00120321 -0.1695358   0.00732194  0.01978594]],1,0.9809740340871304,False,0.76
[[-0.15484233  0.00404035 -0.00082778 -0.14969625 -0.0107147   0.01778422]],1,0.9831139700692315,False,0.78
[[-0.1576378   0.00364446 -0.00049035 -0.12984826 -0.02891392  0.01600658]],1,0.9858235596203605,False,0.8
[[-0.1600361   0.00288171 -0.00018516 -0.10997753 -0.04742612  0.01458224]],-5,0.9853131385341539,False,0.8200000000000001
"[[-1.63236726e-01  2.94514981e-03  9.54222313e-05 -2.10085073e-01
   5.37657309e-02  1.34899211e-02]]",1,0.9826169520552877,False,0.84
[[-0.16723971  0.00383423  0.0003531  -0.19021931  0.03519799  0.01223635]],1,0.9807346741823357,False,0.86
[[-0.17084568  0.00435478  0.00058367 -0.17038123  0.01688656  0.01080199]],1,0.9796850623754886,False,0.88
[[-0.17405505  0.00451039  0.00078486 -0.15055642 -0.00132125  0.00931962]],1,0.9794675429458474,False,0.9
[[-0.17686793  0.00430161  0.00095701 -0.13073058 -0.01957713  0.00792088]],1,0.9800622534434325,False,0.92
[[-0.17928417  0.00372596  0.00110314 -0.11088933 -0.03803346  0.00673843]],1,0.9814288843725475,False,0.9400000000000001
[[-0.18130331  0.0027779   0.0012289  -0.09101818 -0.05684515  0.00590808]],-5,0.9827880424508781,False,0.96
[[-0.18412468  0.00264958  0.00134197 -0.19111794  0.04400052  0.00541455]],1,0.9810781704998225,False,0.98
[[-0.18774818  0.00333946  0.00144424 -0.1712367   0.02503333  0.00477407]],1,0.9801431634191564,False,1.0
[[-0.19097428  0.00365223  0.00153187 -0.15137515  0.00626384  0.00397422]],1,0.9799974562662047,False,1.02
